,img_id,class,x,y
0,Ta00048.jpg,kura_clover_point,2144.427,276.849
1,Ta00048.jpg,kura_clover_point,2818.093,466.029
2,Ta00048.jpg,kura_clover_point,3076.486,1282.734
3,Ta00048.jpg,kura_clover_point,2098.286,1047.413
4,Ta00048.jpg,kura_clover_point,2508.945,1684.166
5,Ta00048.jpg,kura_clover_point,2873.463,1937.944
6,Ta00048.jpg,kura_clover_point,3639.413,1144.31
7,Ta00048.jpg,kura_clover_point,3242.595,595.226
8,Ta00048.jpg,quadrat_point,1083.172,101.511
9,Ta00048.jpg,quadrat_point,2541.244,83.055
10,Ta00048.jpg,quadrat_point,3607.113,115.354
11,Ta00048.jpg,quadrat_point,4063.915,189.18
12,Ta00048.jpg,quadrat_point,4248.481,1831.818
13,Ta00048.jpg,quadrat_point,4262.323,3225.292
14,Ta00048.jpg,quadrat_point,2859.621,3312.961
15,Ta00048.jpg,quadrat_point,1018.574,3216.064
16,Ta00048.jpg,quadrat_point,953.976,1919.487
17,Ta00048.jpg,soil,704.812,429.116
18,Ta00048.jpg,soil,483.332,1887.188
19,Ta00048.jpg,soil,598.686,2925.372
20,Ta00048.jpg,soil,1120.085,2865.389
21,Ta00048.jpg,soil,1129.314,1490.371
22,Ta00048.jpg,soil,1641.485,313.762
23,Ta00048.jpg,soil,3856.278,489.1
24,Ta00048.jpg,soil,4050.072,1425.773
25,Ta00048.jpg,soil,3224.139,2537.784
26,Ta00048.jpg,soil,2361.292,2736.192
27,Ta00048.jpg,soil,3422.547,3008.427
28,Ta00048.jpg,soil,4968.288,2454.729
29,Ta00048.jpg,soil,4751.423,1130.467
30,Ta00048.jpg,soil,4899.076,401.431
31,Ta00048.jpg,kura_clover_point,3287.205,2187.737
32,Ta00048.jpg,kura_clover_point,3184.538,2151.737
33,Ta00048.jpg,kura_clover_point,2259.205,2366.404
34,Ta00048.jpg,kura_clover_point,2157.871,2414.404
35,Ta00048.jpg,kura_clover_point,2185.871,2209.07
36,Ta00048.jpg,kura_clover_point,2281.871,2059.737
37,Ta00048.jpg,kura_clover_point,3229.871,2267.737
38,Ta00048.jpg,kura_clover_point,3143.205,2230.404
39,Ta00048.jpg,kura_clover_point,2965.825,322.92
40,Ta00048.jpg,kura_clover_point,2311.28,241.102
41,Ta00048.jpg,kura_clover_point,2511.28,859.284
42,Ta00048.jpg,kura_clover_point,2659.765,968.375
43,Ta00048.jpg,kura_clover_point,2190.068,1025.95
44,Ta00048.jpg,kura_clover_point,2835.522,1489.587
45,Ta00048.jpg,kura_clover_point,2917.341,1259.284
46,Ta01349.jpg,kura_clover_point,1788.703,2236.506
47,Ta01349.jpg,kura_clover_point,2503.855,2175.9
48,Ta01349.jpg,kura_clover_point,2564.461,1766.809
49,Ta01349.jpg,kura_clover_point,2534.158,1494.082
50,Ta01349.jpg,kura_clover_point,2846.279,1188.021
51,Ta01349.jpg,kura_clover_point,2655.37,984.991
52,Ta01349.jpg,kura_clover_point,2328.097,1024.385
53,Ta01349.jpg,kura_clover_point,3003.855,2063.779
54,Ta01349.jpg,kura_clover_point,2791.734,2206.203
55,Ta01349.jpg,kura_clover_point,1597.794,2454.688
56,Ta01349.jpg,quadrat_point,1304.921,349.409
57,Ta01349.jpg,quadrat_point,2511.128,318.466
58,Ta01349.jpg,quadrat_point,2707.679,363.294
59,Ta01349.jpg,quadrat_point,2883.541,349.501
60,Ta01349.jpg,quadrat_point,4004.231,404.673
61,Ta01349.jpg,quadrat_point,4131.817,1790.88
62,Ta01349.jpg,quadrat_point,4155.955,3004.673
63,Ta01349.jpg,quadrat_point,4166.3,3339.156
64,Ta01349.jpg,quadrat_point,2569.748,3332.26
65,Ta01349.jpg,quadrat_point,1018.024,3142.604
66,Ta01349.jpg,quadrat_point,1131.817,1521.915
67,Ta01349.jpg,soil,766.3,315.018
68,Ta01349.jpg,soil,1986.99,187.432
69,Ta01349.jpg,soil,3473.197,170.191
70,Ta01349.jpg,soil,4583.541,308.122
71,Ta01349.jpg,soil,4873.197,1594.328
72,Ta01349.jpg,soil,4849.059,2821.915
73,Ta01349.jpg,soil,3597.334,2701.225
74,Ta01349.jpg,soil,3321.472,1163.294
75,Ta01349.jpg,soil,2207.679,663.294
76,Ta01349.jpg,soil,1300.783,804.673
77,Ta01349.jpg,soil,1200.783,2515.018
78,Ta01349.jpg,soil,2190.438,2873.639
79,Ta01349.jpg,soil,452.507,2480.535
80,Ta01349.jpg,soil,514.576,3118.466
81,Ta01881.jpg,kura_clover_point,2819.656,2092.537
82,Ta01881.jpg,kura_clover_point,2543.656,2190.537
83,Ta01881.jpg,kura_clover_point,2595.656,2354.537
84,Ta01881.jpg,kura_clover_point,2597.656,2592.537
85,Ta01881.jpg,kura_clover_point,2661.656,2926.537
86,Ta01881.jpg,kura_clover_point,2873.656,2654.537
87,Ta01881.jpg,kura_clover_point,2971.656,2428.537
88,Ta01881.jpg,quadrat_point,1134.273,267.709
89,Ta01881.jpg,quadrat_point,2563.698,189.686
90,Ta01881.jpg,quadrat_point,4132.663,124.169
91,Ta01881.jpg,quadrat_point,4363.698,1362.1
92,Ta01881.jpg,quadrat_point,4408.525,2682.79
93,Ta01881.jpg,quadrat_point,4363.698,3213.824
94,Ta01881.jpg,quadrat_point,3115.422,3296.583
95,Ta01881.jpg,quadrat_point,2615.422,3300.031
96,Ta01881.jpg,quadrat_point,1722.319,3393.135
97,Ta01881.jpg,quadrat_point,1298.181,3341.411
98,Ta01881.jpg,quadrat_point,1146.456,1686.238
99,Ta01881.jpg,soil,548.801,464.445
100,Ta01881.jpg,soil,396.801,1728.445
101,Ta01881.jpg,soil,540.801,2968.445
