,img_id,class,top,left,height,width
0,Ta00048.jpg,kura_clover,0.0,1674.0,2561.0,2145.0
1,Ta00048.jpg,quadrat,0.0,760.0,3456.0,3650.0
2,Ta00048.jpg,quadrat_corner,0.0,926.0,314.0,392.0
3,Ta00048.jpg,quadrat_corner,23.0,3949.0,346.0,369.0
4,Ta00048.jpg,quadrat_corner,3041.0,4018.0,415.0,410.0
5,Ta00048.jpg,quadrat_corner,2999.0,751.0,425.0,411.0
6,Ta01349.jpg,kura_clover,831.0,1378.0,1790.0,2474.0
7,Ta01349.jpg,quadrat,217.0,862.0,3239.0,3428.0
8,Ta01349.jpg,quadrat_corner,212.0,1083.0,342.0,365.0
9,Ta01349.jpg,quadrat_corner,258.0,3907.0,351.0,355.0
10,Ta01349.jpg,quadrat_corner,3161.0,3898.0,295.0,387.0
11,Ta01349.jpg,quadrat_corner,3045.0,862.0,406.0,373.0
12,Ta01881.jpg,kura_clover,1901.0,2426.0,1061.0,818.0
13,Ta01881.jpg,quadrat,0.0,915.0,3456.0,3653.0
14,Ta01881.jpg,quadrat_corner,163.0,942.0,373.0,362.0
15,Ta01881.jpg,quadrat_corner,0.0,3982.0,307.0,405.0
16,Ta01881.jpg,quadrat_corner,2979.0,4184.0,405.0,395.0
17,Ta01881.jpg,quadrat_corner,3230.0,1160.0,226.0,390.0
18,Ta00235.jpg,kura_clover,538.0,1520.0,1356.0,1624.0
19,Ta00235.jpg,quadrat,59.0,310.0,3221.0,3332.0
20,Ta00235.jpg,quadrat_corner,62.0,514.0,300.0,335.0
21,Ta00235.jpg,quadrat_corner,102.0,3259.0,316.0,371.0
22,Ta00235.jpg,quadrat_corner,2905.0,3277.0,353.0,353.0
23,Ta00235.jpg,quadrat_corner,2837.0,304.0,371.0,350.0
24,Ta01982.jpg,kura_clover,43.0,1251.0,2915.0,1711.0
25,Ta01982.jpg,quadrat,0.0,808.0,3301.0,3444.0
26,Ta01982.jpg,quadrat_corner,0.0,802.0,260.0,387.0
27,Ta01982.jpg,quadrat_corner,0.0,3878.0,220.0,365.0
28,Ta01982.jpg,quadrat_corner,2881.0,3902.0,349.0,338.0
29,Ta01982.jpg,quadrat_corner,2961.0,895.0,340.0,365.0
30,Ta00112.jpg,kura_clover,229.0,1545.0,2410.0,1921.0
31,Ta00112.jpg,quadrat,0.0,638.0,3394.0,3679.0
32,Ta00112.jpg,quadrat_corner,22.0,802.0,312.0,359.0
33,Ta00112.jpg,quadrat_corner,0.0,3788.0,288.0,368.0
34,Ta00112.jpg,quadrat_corner,2976.0,3930.0,400.0,390.0
35,Ta00112.jpg,quadrat_corner,2995.0,638.0,405.0,375.0
36,Ta02081_6_8_17.jpg,kura_clover,969.0,1508.0,1260.0,1370.0
37,Ta02081_6_8_17.jpg,quadrat,361.0,1205.0,2907.0,2903.0
38,Ta02081_6_8_17.jpg,quadrat_corner,361.0,1205.0,307.0,314.0
39,Ta02081_6_8_17.jpg,quadrat_corner,388.0,3781.0,287.0,324.0
40,Ta02081_6_8_17.jpg,quadrat_corner,2947.0,3801.0,310.0,300.0
41,Ta02081_6_8_17.jpg,quadrat_corner,2957.0,1205.0,318.0,320.0
42,Ta01097.jpg,kura_clover,337.0,505.0,1915.0,2980.0
43,Ta01097.jpg,quadrat,0.0,406.0,3406.0,3629.0
44,Ta01097.jpg,quadrat_corner,19.0,530.0,324.0,346.0
45,Ta01097.jpg,quadrat_corner,0.0,3491.0,294.0,359.0
46,Ta01097.jpg,quadrat_corner,2955.0,3639.0,393.0,369.0
47,Ta01097.jpg,quadrat_corner,3014.0,412.0,411.0,375.0
48,Ta02271_6_8_17.jpg,kura_clover,1769.0,2547.0,1014.0,506.0
49,Ta02271_6_8_17.jpg,quadrat,550.0,1227.0,2906.0,3004.0
50,Ta02271_6_8_17.jpg,quadrat_corner,589.0,1221.0,322.0,319.0
