accession,date,img_id,img_name,class,x,y
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2144.427,276.849
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2818.093,466.029
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,3076.486,1282.734
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2098.286,1047.413
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2508.945,1684.166
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2873.463,1937.944
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,3639.413,1144.31
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,3242.595,595.226
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,1083.172,101.511
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,2541.244,83.055
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,3607.113,115.354
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,4063.915,189.18
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,4248.481,1831.818
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,4262.323,3225.292
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,2859.621,3312.961
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,1018.574,3216.064
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,quadrat,953.976,1919.487
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,704.812,429.116
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,483.332,1887.188
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,598.686,2925.372
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,1120.085,2865.389
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,1129.314,1490.371
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,1641.485,313.762
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,3856.278,489.1
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,4050.072,1425.773
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,3224.139,2537.784
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,2361.292,2736.192
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,3422.547,3008.427
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,4968.288,2454.729
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,4751.423,1130.467
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,soil,4899.076,401.431
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,3287.205,2187.737
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,3184.538,2151.737
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2259.205,2366.404
Ta00048,20170608,Ta00048_20170608,Ta00048_20170608.jpg,clover,2157.871,2414.404
